N,P,K,ph,Organic Matter (%),Soil Texture,Irrigation Source,Region,Suitable Crops
90,42,43,6.502985292,4.387428692,Loamy,Canal,Multan,"Mango, Wheat"
85,58,41,7.038096361,3.885969129,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
60,55,44,7.840207144,1.558698405,Sandy,Canal,Lahore,"Wheat, Rice"
74,35,40,6.980400905,1.774171075,Clayey,Canal,Multan,"Mango, Wheat"
78,42,42,7.628472891,1.379061221,Loamy,Tube well,Multan,"Mango, Wheat"
69,37,42,7.073453503,4.286634802,Sandy,Rain-fed,Bahawalpur,"Dates, Millet"
69,55,38,5.70080568,2.938271009,Loamy,Tube well,Bahawalpur,"Dates, Millet"
94,53,40,5.718627178,3.18733365,Clayey,Canal,Bahawalpur,"Dates, Millet"
89,54,38,6.685346424,0.728677946,Sandy,Tube well,Rawalpindi,"Barley, Maize"
68,58,38,6.336253525,3.118262635,Loamy,Rain-fed,Bahawalpur,"Dates, Millet"
91,53,40,5.386167788,3.810576704,Sandy,Rain-fed,Multan,"Mango, Wheat"
90,46,42,7.50283396,1.569743338,Clayey,Rain-fed,Multan,"Mango, Wheat"
78,58,44,5.108681786,1.863227066,Sandy,Tube well,Bahawalpur,"Dates, Millet"
93,56,36,6.98435366,3.780379858,Loamy,Tube well,Lahore,"Wheat, Rice"
94,50,37,6.94801983,2.584964431,Sandy,Canal,Bahawalpur,"Dates, Millet"
60,48,39,7.042299069,2.223958563,Clayey,Canal,Bahawalpur,"Dates, Millet"
85,38,41,6.249050656,2.355248504,Clayey,Tube well,Multan,"Mango, Wheat"
91,35,39,6.970859754,1.266213954,Loamy,Tube well,Rawalpindi,"Barley, Maize"
77,38,36,5.953933276,4.197697941,Loamy,Canal,Rawalpindi,"Barley, Maize"
88,35,40,5.85393208,0.911029388,Clayey,Rain-fed,Bahawalpur,"Dates, Millet"
89,45,36,6.442475375,4.157219409,Clayey,Tube well,Rawalpindi,"Barley, Maize"
76,40,43,5.070175667,1.986322746,Clayey,Canal,Bahawalpur,"Dates, Millet"
67,59,41,6.012632591,3.788353472,Sandy,Tube well,Rawalpindi,"Barley, Maize"
83,41,43,6.254028451,3.086384655,Clayey,Canal,Multan,"Mango, Wheat"
98,47,37,7.375482851,2.458209131,Loamy,Tube well,Faisalabad,"Cotton, Sugarcane"
66,53,41,7.778915154,4.524959256,Loamy,Canal,Multan,"Mango, Wheat"
97,59,43,6.286500176,1.199270376,Clayey,Rain-fed,Multan,"Mango, Wheat"
97,50,41,7.070959995,3.034999575,Sandy,Tube well,Multan,"Mango, Wheat"
60,49,44,6.244841491,2.253942244,Clayey,Rain-fed,Rawalpindi,"Barley, Maize"
84,51,35,6.043304899,1.617464008,Loamy,Tube well,Bahawalpur,"Dates, Millet"
73,57,41,5.824709117,0.555669085,Sandy,Rain-fed,Rawalpindi,"Barley, Maize"
92,35,40,6.357389366,4.601242269,Sandy,Tube well,Lahore,"Wheat, Rice"
85,37,39,6.364134968,3.713974389,Clayey,Canal,Bahawalpur,"Dates, Millet"
98,53,38,5.01450727,4.028450102,Clayey,Canal,Rawalpindi,"Barley, Maize"
88,54,44,6.149410611,1.77434914,Loamy,Rain-fed,Multan,"Mango, Wheat"
95,55,42,5.950660556,1.843975469,Clayey,Rain-fed,Bahawalpur,"Dates, Millet"
99,57,35,5.960370061,0.719205291,Clayey,Tube well,Rawalpindi,"Barley, Maize"
95,39,36,5.561398642,3.286399344,Clayey,Tube well,Lahore,"Wheat, Rice"
60,43,44,7.416245107,4.947025853,Sandy,Canal,Bahawalpur,"Dates, Millet"
63,44,41,5.583370042,2.372351657,Clayey,Tube well,Bahawalpur,"Dates, Millet"
62,42,36,6.430010215,4.424945911,Loamy,Rain-fed,Lahore,"Wheat, Rice"
64,45,43,5.534878156,2.741305455,Clayey,Tube well,Rawalpindi,"Barley, Maize"
83,60,36,6.903985986,3.500552632,Clayey,Rain-fed,Rawalpindi,"Barley, Maize"
82,40,40,6.271478838,2.152310713,Loamy,Rain-fed,Multan,"Mango, Wheat"
85,52,45,7.224285503,2.894861221,Clayey,Tube well,Lahore,"Wheat, Rice"
91,35,38,6.13428721,0.789662971,Sandy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
76,49,42,5.206373153,1.759004098,Clayey,Canal,Lahore,"Wheat, Rice"
74,39,38,7.782051313,2.2550742,Sandy,Tube well,Lahore,"Wheat, Rice"
79,43,39,7.062779015,4.929224615,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
88,55,45,7.730367824,4.5061337,Sandy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
60,36,43,5.286203711,0.875947191,Sandy,Rain-fed,Rawalpindi,"Barley, Maize"
76,60,39,6.766240045,3.600205386,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
93,56,42,7.382762603,1.815393857,Loamy,Canal,Bahawalpur,"Dates, Millet"
65,60,43,5.658169482,1.437447031,Sandy,Tube well,Lahore,"Wheat, Rice"
95,52,36,5.543360238,2.265236012,Loamy,Rain-fed,Rawalpindi,"Barley, Maize"
75,38,39,6.215109715,3.200954032,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
74,54,38,7.120272972,2.647545041,Loamy,Rain-fed,Bahawalpur,"Dates, Millet"
91,36,45,5.950647577,1.93246512,Clayey,Rain-fed,Bahawalpur,"Dates, Millet"
71,46,40,7.236705436,3.155441646,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
99,55,35,6.501697816,0.790572248,Loamy,Canal,Rawalpindi,"Barley, Maize"
72,40,38,7.592490617,4.475040458,Loamy,Tube well,Multan,"Mango, Wheat"
83,58,45,5.875345751,1.944134203,Sandy,Rain-fed,Bahawalpur,"Dates, Millet"
93,58,38,6.932400225,0.693518159,Sandy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
70,36,42,6.946209881,4.997050424,Clayey,Canal,Rawalpindi,"Barley, Maize"
76,47,42,5.739175027,1.553975966,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
99,41,36,6.738652179,2.161552982,Sandy,Tube well,Rawalpindi,"Barley, Maize"
99,54,37,5.594819626,3.744899172,Clayey,Tube well,Bahawalpur,"Dates, Millet"
86,59,35,6.946636369,1.042319255,Loamy,Rain-fed,Lahore,"Wheat, Rice"
69,46,41,5.012139669,1.316974354,Sandy,Rain-fed,Lahore,"Wheat, Rice"
91,56,37,6.363472208,1.308371381,Clayey,Tube well,Faisalabad,"Cotton, Sugarcane"
61,52,41,6.880431223,2.343696273,Sandy,Tube well,Bahawalpur,"Dates, Millet"
67,45,38,7.300410836,2.290289951,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
79,42,37,6.587918708,4.585576648,Clayey,Rain-fed,Lahore,"Wheat, Rice"
78,43,42,7.283736617,1.103861978,Clayey,Rain-fed,Multan,"Mango, Wheat"
75,54,36,7.023936392,1.684869537,Clayey,Rain-fed,Multan,"Mango, Wheat"
97,36,45,6.939083505,0.80834587,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
67,47,44,7.868474653,1.549332919,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
73,35,38,5.005306977,1.521854656,Loamy,Canal,Bahawalpur,"Dates, Millet"
77,36,37,6.136131869,1.077321716,Clayey,Rain-fed,Lahore,"Wheat, Rice"
81,41,38,7.524080076,3.694256434,Sandy,Canal,Multan,"Mango, Wheat"
68,57,43,5.706943251,1.343994045,Sandy,Rain-fed,Multan,"Mango, Wheat"
72,45,35,5.758506323,0.587988033,Loamy,Canal,Multan,"Mango, Wheat"
61,53,43,6.349606327,3.174347263,Sandy,Rain-fed,Multan,"Mango, Wheat"
67,43,39,5.999969026,4.568756159,Clayey,Canal,Lahore,"Wheat, Rice"
67,58,39,5.453592032,3.470019187,Clayey,Tube well,Faisalabad,"Cotton, Sugarcane"
66,60,38,6.372576327,3.342679298,Loamy,Canal,Rawalpindi,"Barley, Maize"
82,43,38,5.105588355,3.02522823,Loamy,Canal,Bahawalpur,"Dates, Millet"
84,50,44,5.935344406,0.599355207,Loamy,Rain-fed,Multan,"Mango, Wheat"
81,53,42,5.17782304,2.528824541,Loamy,Tube well,Bahawalpur,"Dates, Millet"
91,50,40,6.462391607,1.70402392,Clayey,Tube well,Rawalpindi,"Barley, Maize"
93,53,38,7.069172227,1.053876338,Sandy,Rain-fed,Lahore,"Wheat, Rice"
90,44,38,7.473134377,3.25825769,Clayey,Canal,Bahawalpur,"Dates, Millet"
81,45,35,6.158376967,3.004904907,Sandy,Rain-fed,Multan,"Mango, Wheat"
78,40,38,7.549873681,3.371636444,Loamy,Canal,Lahore,"Wheat, Rice"
60,51,36,6.028321558,4.954144942,Clayey,Canal,Faisalabad,"Cotton, Sugarcane"
88,46,42,6.604993475,4.49782708,Sandy,Rain-fed,Lahore,"Wheat, Rice"
93,47,37,6.500343222,0.507419142,Loamy,Canal,Multan,"Mango, Wheat"
60,55,45,5.935745417,1.053195938,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
78,35,44,7.072655622,1.936304847,Clayey,Rain-fed,Multan,"Mango, Wheat"
